order_id,order_date,product_id,product_category,price,quantity,discount,customer_id,region,payment_method
O000033,2024-06-08,P038,Electronics,602.88,3,0.15,C0957,North,Debit Card
O000034,2024-03-06,P038,Clothing,628.11,1,0.2,C1165,South,Debit Card
O000035,2024-05-13,P094,Home,461.97,4,0.15,C0183,East,Credit Card
O000036,2024-12-05,P037,Electronics,893.63,3,0.05,C1151,South,Debit Card
O000037,2024-12-13,P028,Sports,362.73,1,0.0,C1381,West,UPI
O000038,2024-10-09,P091,Clothing,432.84,4,0.2,C0440,North,Cash
O000039,2024-08-20,P077,Home,311.73,3,0.0,C1916,West,Debit Card
O000040,2024-11-13,P007,Clothing,229.89,3,0.05,C0026,North,Cash
O000041,2024-06-20,P069,Electronics,251.68,3,0.0,C0724,West,Cash
O000042,2024-06-28,P074,Electronics,369.99,1,0.05,C0510,South,Credit Card
O000043,2024-02-21,P079,Electronics,254.41,2,0.1,C0538,North,UPI
O000044,2024-04-22,P059,Home,156.61,1,0.1,C0029,West,UPI
O000045,2024-04-22,P067,Home,976.85,4,0.2,C0415,South,Credit Card
O000046,2024-08-11,P025,Home,909.18,3,0.05,C0732,South,Credit Card
O000047,2024-02-22,P010,Clothing,494.56,4,0.1,C1447,East,UPI
O000048,2024-07-02,P015,Electronics,245.26,5,0.15,C0226,North,Credit Card
O000049,2024-04-07,P069,Home,637.19,3,0.0,C0029,West,UPI
O000050,2024-07-19,P030,Home,327.57,5,0.1,C0132,South,Cash
O000051,2024-05-27,P094,Beauty,332.7,4,0.1,C1131,West,UPI
O000052,2024-12-11,P073,Sports,516.97,3,0.15,C1513,South,Debit Card
O000053,2024-12-17,P043,Electronics,105.21,1,0.0,C1972,East,Credit Card
O000054,2024-05-07,P012,Electronics,522.57,1,0.1,C1332,North,Cash
O000055,2024-05-30,P015,Sports,546.03,2,0.1,C0471,South,Debit Card
O000056,2024-09-19,P035,Beauty,663.38,2,0.0,C0705,North,Cash
O000057,2024-02-29,P096,Electronics,268.22,1,0.15,C1643,South,Debit Card
O000058,2024-02-06,P041,Beauty,883.81,1,0.0,C0936,North,UPI
O000059,2024-04-08,P075,Clothing,703.35,3,0.15,C1397,South,Cash
O000060,2024-05-31,P076,Clothing,410.46,1,0.15,C0774,South,Debit Card
O000061,2024-03-15,P092,Home,936.28,4,0.15,C1842,West,Cash
O000062,2024-09-10,P053,Clothing,19.11,1,0.1,C1591,North,Debit Card
O000063,2024-06-01,P073,Beauty,15.01,2,0.05,C1032,West,Debit Card
O000064,2024-11-05,P100,Electronics,453.94,5,0.0,C1883,South,Cash
O000065,2024-06-09,P086,Electronics,27.89,5,0.15,C0823,North,UPI
O000066,2024-05-14,P045,Home,723.73,1,0.15,C0138,East,UPI
O000067,2024-01-22,P018,Sports,251.55,5,0.1,C1418,East,Debit Card
O000068,2024-09-20,P089,Electronics,634.83,2,0.2,C0076,West,Cash
O000069,2024-10-12,P015,Electronics,648.65,1,0.2,C1699,West,Debit Card
O000070,2024-11-12,P092,Sports,504.2,4,0.1,C0654,West,UPI
O000071,2024-07-10,P041,Beauty,649.02,1,0.15,C1172,South,Debit Card
O000072,2024-08-07,P082,Clothing,475.25,5,0.1,C1565,East,UPI
O000073,2024-08-20,P095,Beauty,953.54,5,0.0,C1474,West,Cash
O000074,2024-10-28,P002,Clothing,966.99,3,0.15,C0164,East,Debit Card
O000075,2024-04-25,P034,Electronics,301.5,5,0.0,C1868,West,UPI
O000076,2024-09-12,P017,Electronics,490.43,2,0.0,C0482,North,Cash
O000077,2024-08-10,P031,Electronics,845.77,3,0.05,C0161,North,Debit Card
O000078,2024-10-14,P017,Home,674.43,2,0.1,C1225,North,Cash
O000079,2024-09-29,P075,Clothing,850.18,1,0.1,C0038,South,Cash
O000080,2024-09-02,P056,Home,365.9,5,0.05,C1695,West,Cash
O000081,2024-09-03,P069,Clothing,425.58,2,0.0,C1504,North,UPI
O000082,2024-01-13,P045,Clothing,90.78,1,0.15,C1910,North,UPI
O000083,2024-06-21,P025,Clothing,202.33,4,0.1,C0801,West,Debit Card
O000084,2024-05-22,P069,Electronics,381.83,2,0.1,C0496,West,Credit Card
O000085,2024-06-01,P072,Home,163.49,5,0.05,C1894,South,Debit Card
O000086,2024-02-27,P057,Sports,40.2,4,0.05,C1756,East,Credit Card
O000087,2024-11-21,P057,Home,310.23,3,0.15,C1026,West,Credit Card
O000088,2024-04-10,P087,Home,527.02,5,0.15,C0324,West,Credit Card
O000089,2024-04-17,P004,Clothing,626.66,4,0.2,C0495,South,UPI
O000090,2024-12-15,P084,Sports,545.23,4,0.2,C1820,South,Credit Card
O000091,2024-05-03,P054,Home,717.45,3,0.0,C0055,West,Cash
O000092,2024-04-29,P100,Electronics,278.12,4,0.05,C0592,South,UPI
O000093,2024-12-11,P050,Sports,35.1,5,0.0,C0928,West,Credit Card
O000094,2024-05-08,P035,Clothing,181.56,1,0.05,C0448,South,Credit Card
O000095,2024-04-05,P035,Home,553.73,1,0.2,C0850,South,Credit Card
O000096,2024-09-28,P055,Beauty,521.53,5,0.2,C0702,East,Debit Card
O000097,2024-09-03,P087,Clothing,57.24,2,0.1,C0973,West,UPI
O000098,2024-03-26,P062,Clothing,24.25,4,0.2,C1095,North,UPI
O000099,2024-02-16,P017,Clothing,50.32,4,0.2,C1157,South,Debit Card
O000100,2024-07-22,P028,Clothing,26.99,2,0.2,C1028,South,Credit Card
O000101,2024-02-08,P086,Clothing,352.84,5,0.05,C0887,North,Credit Card
O000102,2024-01-10,P065,Electronics,949.65,4,0.05,C0889,West,Credit Card
O000103,2024-06-28,P095,Home,380.87,2,0.1,C0969,East,Debit Card
O000104,2024-04-05,P013,Sports,857.92,5,0.2,C1167,East,UPI
O000105,2024-01-04,P095,Electronics,619.69,2,0.0,C0634,South,Cash
O000106,2024-06-08,P025,Clothing,940.83,4,0.05,C0754,East,Cash
O000107,2024-06-11,P019,Electronics,646.86,1,0.2,C1968,West,Cash
O000108,2024-06-27,P091,Home,822.43,4,0.1,C1479,East,UPI
O000109,2024-03-05,P081,Clothing,961.58,2,0.1,C1576,North,Debit Card
O000110,2024-02-13,P059,Clothing,281.22,4,0.05,C1044,West,Debit Card
O000111,2024-09-09,P013,Clothing,103.5,3,0.0,C1153,West,Cash
O000112,2024-03-30,P040,Beauty,325.79,2,0.05,C0924,North,Cash
O000113,2024-03-30,P011,Sports,347.22,3,0.0,C0697,South,Cash
O000114,2024-07-14,P015,Beauty,695.96,2,0.2,C0184,East,UPI
O000115,2024-03-15,P036,Clothing,878.7,4,0.0,C1378,West,Cash
O000116,2024-10-03,P083,Home,967.9,4,0.05,C0564,South,Credit Card
O000117,2024-12-22,P088,Clothing,753.11,3,0.0,C0793,West,Credit Card
O000118,2024-04-08,P050,Sports,418.49,2,0.0,C0544,West,Debit Card
O000119,2024-04-05,P084,Home,347.4,5,0.15,C0518,West,Credit Card
O000120,2024-07-01,P070,Home,753.36,1,0.1,C0672,West,Debit Card
O000121,2024-12-26,P070,Sports,383.95,1,0.15,C1959,South,Credit Card
O000122,2024-08-04,P073,Electronics,326.85,3,0.1,C1765,East,Cash
O000123,2024-06-25,P086,Sports,62.95,5,0.0,C0746,West,Debit Card
O000124,2024-03-16,P070,Electronics,361.36,4,0.15,C1046,East,Cash
O000125,2024-12-04,P073,Clothing,498.1,5,0.2,C0305,South,UPI
O000126,2024-04-08,P074,Home,606.42,4,0.1,C1956,North,Cash
O000127,2024-02-22,P053,Clothing,793.66,1,0.2,C0662,South,Debit Card
O000128,2024-06-29,P041,Clothing,499.48,2,0.2,C0617,North,Debit Card
O000129,2024-06-11,P079,Clothing,888.83,3,0.1,C1742,South,Cash
O000130,2024-05-25,P071,Sports,968.97,1,0.05,C0009,East,Cash
O000131,2024-09-09,P012,Beauty,840.1,5,0.05,C1547,South,UPI
O000132,2024-10-09,P080,Clothing,709.18,5,0.2,C0686,North,UPI
O000133,2024-06-13,P007,Home,240.9,5,0.0,C0132,East,Credit Card
O000134,2024-12-07,P090,Sports,814.67,1,0.2,C0853,East,Debit Card
O000135,2024-05-11,P049,Electronics,356.72,4,0.1,C1594,South,Credit Card
O000136,2024-12-29,P085,Electronics,562.82,3,0.05,C0186,South,Credit Card
O000137,2024-12-11,P022,Sports,336.95,3,0.2,C0274,North,UPI
O000138,2024-05-20,P090,Beauty,411.15,2,0.15,C1357,East,Debit Card
O000139,2024-11-12,P028,Home,824.56,1,0.1,C1702,West,Credit Card
O000140,2024-12-13,P078,Sports,962.55,4,0.0,C0185,South,Debit Card
O000141,2024-11-07,P047,Electronics,533.09,5,0.05,C0343,East,Credit Card
O000142,2024-02-13,P043,Electronics,978.12,5,0.2,C0692,South,Debit Card
O000143,2024-10-29,P069,Clothing,892.23,5,0.1,C1414,South,Debit Card
O000144,2024-09-08,P054,Electronics,83.06,3,0.1,C1552,East,UPI
O000145,2024-01-20,P032,Home,84.68,1,0.0,C1983,North,UPI
O000146,2024-01-14,P045,Electronics,301.55,1,0.2,C1948,North,Debit Card
O000147,2024-02-23,P031,Home,588.47,1,0.1,C1401,South,UPI
O000148,2024-01-12,P096,Sports,959.12,4,0.15,C0256,West,Credit Card
O000149,2024-01-08,P018,Home,177.98,4,0.05,C1776,North,Cash
O000150,2024-05-15,P040,Home,359.82,2,0.15,C0212,North,Cash
O000151,2024-08-07,P077,Clothing,366.74,4,0.1,C0070,West,Cash
O000152,2024-05-24,P013,Electronics,286.97,5,0.15,C1733,South,Credit Card
O000153,2024-08-07,P022,Home,278.25,5,0.1,C1462,East,Credit Card
O000154,2024-09-09,P038,Electronics,941.13,3,0.2,C0517,East,UPI
O000155,2024-10-29,P070,Electronics,919.98,2,0.05,C0493,North,UPI
O000156,2024-09-07,P099,Home,54.77,1,0.0,C1207,North,Credit Card
O000157,2024-05-25,P095,Sports,987.4,1,0.1,C1060,South,Debit Card
O000158,2024-12-06,P043,Electronics,752.08,1,0.1,C0837,East,Debit Card
O000159,2024-10-09,P017,Beauty,573.39,1,0.05,C0508,South,Cash
O000160,2024-04-14,P006,Clothing,420.67,1,0.2,C0566,South,Cash
O000161,2024-11-06,P008,Clothing,866.08,1,0.2,C1275,North,Debit Card
O000162,2024-12-16,P041,Electronics,752.41,3,0.2,C1439,West,UPI
O000163,2024-01-23,P071,Clothing,771.3,5,0.05,C0060,South,Credit Card
O000164,2024-03-23,P019,Beauty,254.87,1,0.0,C1171,West,Cash
O000165,2024-02-20,P036,Beauty,281.98,4,0.0,C0195,East,Credit Card
O000166,2024-10-14,P073,Electronics,56.43,2,0.05,C1904,East,UPI
O000167,2024-06-10,P046,Electronics,481.45,3,0.1,C0970,North,Cash
O000168,2024-11-01,P003,Home,853.66,4,0.2,C1277,South,Cash
O000169,2024-08-09,P099,Beauty,793.9,1,0.2,C0782,East,Cash
O000170,2024-12-06,P024,Electronics,642.97,3,0.1,C1980,South,Debit Card
O000171,2024-04-12,P030,Beauty,145.01,4,0.05,C1668,West,Cash
O000172,2024-10-20,P002,Sports,612.01,2,0.1,C1412,West,Credit Card
O000173,2024-11-03,P036,Beauty,551.97,1,0.15,C0294,East,Debit Card
O000174,2024-01-30,P075,Sports,625.87,3,0.0,C1959,North,Debit Card
O000175,2024-05-12,P028,Clothing,798.51,2,0.0,C1743,East,Debit Card
O000176,2024-11-25,P032,Electronics,771.23,4,0.2,C0304,West,Cash
O000177,2024-02-03,P030,Home,624.6,2,0.2,C0334,West,Credit Card
O000178,2024-05-05,P097,Home,637.07,3,0.1,C1459,South,UPI
O000179,2024-04-20,P061,Sports,137.59,3,0.15,C1591,South,Credit Card
O000180,2024-12-25,P014,Home,699.54,1,0.1,C1098,East,UPI
O000181,2024-12-17,P003,Home,479.22,5,0.05,C1352,North,Cash
O000182,2024-03-01,P046,Clothing,200.37,3,0.2,C1159,South,UPI
O000183,2024-01-05,P052,Clothing,351.63,2,0.2,C1438,East,UPI
O000184,2024-01-22,P004,Beauty,97.82,1,0.2,C0723,North,UPI
O000185,2024-08-20,P050,Sports,362.43,2,0.0,C0898,East,Cash
O000186,2024-03-18,P059,Clothing,336.8,3,0.0,C0152,South,Credit Card
O000187,2024-10-08,P098,Home,801.42,1,0.1,C1390,West,Debit Card
O000188,2024-11-14,P004,Clothing,383.51,1,0.05,C0153,West,Cash
O000189,2024-10-18,P025,Sports,808.14,1,0.1,C0444,East,Debit Card
O000190,2024-09-09,P096,Home,986.39,2,0.15,C1805,West,Debit Card
O000191,2024-03-18,P035,Electronics,467.91,5,0.05,C0264,South,Debit Card
O000192,2024-01-14,P014,Home,156.26,3,0.1,C1310,North,Debit Card
O000193,2024-04-20,P043,Home,846.0,3,0.15,C1447,South,Credit Card
O000194,2024-09-30,P046,Beauty,452.94,3,0.1,C0908,West,Credit Card
O000195,2024-01-15,P067,Electronics,113.82,5,0.15,C1156,East,Debit Card
O000196,2024-07-20,P048,Home,568.33,1,0.05,C1958,South,UPI
O000197,2024-05-05,P085,Beauty,128.56,1,0.2,C0746,South,Cash
O000198,2024-07-30,P064,Electronics,479.23,2,0.1,C0131,East,Debit Card
O000199,2024-08-20,P100,Home,503.46,4,0.05,C0104,East,Credit Card
O000200,2024-04-20,P093,Home,747.99,1,0.15,C0623,South,Debit Card
O000201,2024-03-23,P063,Home,384.98,5,0.15,C1010,South,Credit Card
O000202,2024-10-08,P024,Clothing,611.48,3,0.1,C0053,West,UPI
O000203,2024-12-30,P046,Clothing,337.04,1,0.0,C1944,West,Cash
O000204,2024-05-29,P002,Home,233.08,4,0.1,C1065,South,UPI
O000205,2024-11-13,P051,Electronics,807.81,1,0.1,C0264,North,Cash
O000206,2024-08-30,P032,Clothing,28.06,5,0.15,C0114,East,UPI
O000207,2024-08-10,P052,Beauty,897.64,4,0.15,C1472,North,UPI
O000208,2024-03-15,P056,Home,866.85,1,0.1,C0168,South,Credit Card
O000209,2024-03-02,P035,Home,930.08,3,0.05,C1275,South,Debit Card
O000210,2024-06-21,P089,Beauty,771.8,2,0.15,C1696,East,Cash
O000211,2024-10-01,P048,Home,207.51,4,0.0,C0050,South,UPI
O000212,2024-05-19,P027,Clothing,123.69,2,0.2,C1726,East,Credit Card
O000213,2024-05-18,P072,Sports,932.69,5,0.1,C0617,South,UPI
O000214,2024-09-15,P088,Clothing,61.31,2,0.05,C1571,South,Cash
O000215,2024-09-17,P034,Clothing,72.74,4,0.05,C1863,East,UPI
O000216,2024-01-13,P076,Beauty,687.73,4,0.0,C1820,North,UPI
O000217,2024-11-14,P048,Home,684.69,1,0.0,C0842,South,UPI
O000218,2024-02-07,P055,Sports,417.72,1,0.2,C0015,East,Cash
O000219,2024-11-13,P097,Beauty,748.51,2,0.2,C0804,East,Credit Card
O000220,2024-05-16,P012,Sports,212.95,3,0.1,C1493,West,Cash
O000221,2024-01-01,P069,Electronics,743.71,4,0.2,C0150,North,Cash
O000222,2024-11-23,P086,Home,829.66,5,0.15,C0282,South,UPI
O000223,2024-10-12,P030,Clothing,826.88,5,0.2,C1360,East,UPI
O000224,2024-12-04,P071,Electronics,668.55,2,0.15,C1163,North,Debit Card
O000225,2024-03-29,P078,Sports,878.43,1,0.05,C0593,East,Debit Card
O000226,2024-10-22,P054,Home,457.43,3,0.2,C0987,North,UPI
O000227,2024-12-18,P064,Beauty,750.13,1,0.0,C0869,East,UPI
O000228,2024-05-24,P090,Sports,900.58,2,0.2,C0651,West,UPI
O000229,2024-04-13,P084,Electronics,236.74,3,0.1,C1352,East,UPI
O000230,2024-06-27,P071,Sports,341.56,4,0.2,C1306,West,Cash
O000231,2024-10-15,P010,Sports,538.13,3,0.15,C1431,South,UPI
O000232,2024-06-05,P088,Clothing,160.16,1,0.2,C1629,West,Debit Card
O000233,2024-10-15,P029,Clothing,43.2,2,0.05,C1312,East,Cash
O000234,2024-01-05,P100,Sports,878.0,1,0.2,C0278,East,Credit Card
O000235,2024-06-07,P004,Electronics,385.03,5,0.15,C1016,South,Cash
O000236,2024-07-02,P068,Beauty,507.27,5,0.2,C0899,East,Cash
O000237,2024-02-16,P076,Sports,414.87,5,0.05,C0984,West,Cash
O000238,2024-04-04,P008,Home,602.46,4,0.15,C1783,North,UPI
O000239,2024-10-08,P096,Electronics,259.28,5,0.15,C1704,East,Credit Card
O000240,2024-01-11,P025,Home,959.48,2,0.1,C1864,East,Cash
O000241,2024-08-05,P068,Electronics,590.37,2,0.0,C1042,South,UPI
O000242,2024-04-20,P032,Beauty,728.83,3,0.15,C1126,West,UPI
O000243,2024-12-21,P023,Beauty,919.56,5,0.2,C0547,East,Credit Card
O000244,2024-11-23,P060,Sports,654.85,1,0.15,C0060,North,Credit Card
O000245,2024-10-13,P084,Electronics,610.65,3,0.2,C1439,East,UPI
O000246,2024-10-22,P083,Sports,842.04,3,0.0,C0773,North,UPI
O000247,2024-10-28,P044,Clothing,243.55,2,0.15,C0776,South,UPI
O000248,2024-06-30,P051,Electronics,839.12,1,0.1,C1616,North,Credit Card
O000249,2024-05-28,P077,Home,385.51,5,0.0,C1251,East,Debit Card
O000250,2024-07-20,P062,Beauty,804.82,5,0.05,C1311,North,UPI
O000251,2024-10-17,P046,Clothing,404.19,1,0.05,C0244,South,Cash
O000252,2024-03-15,P039,Home,923.73,2,0.1,C0087,West,UPI
O000253,2024-12-12,P073,Electronics,457.7,3,0.1,C1143,East,Debit Card
O000254,2024-12-29,P002,Electronics,913.62,1,0.15,C1646,East,Cash
O000255,2024-07-16,P075,Beauty,43.54,1,0.0,C1296,North,UPI
O000256,2024-10-11,P073,Beauty,584.78,2,0.15,C0915,West,Debit Card
O000257,2024-02-18,P029,Home,186.26,4,0.0,C0599,West,Credit Card
O000258,2024-06-25,P067,Sports,561.73,4,0.2,C1031,West,Cash
O000259,2024-12-25,P086,Clothing,507.17,1,0.2,C0014,South,Debit Card
O000260,2024-08-02,P072,Beauty,432.52,3,0.2,C0002,South,UPI
O000261,2024-10-31,P044,Clothing,46.18,3,0.05,C0515,East,Credit Card
O000262,2024-09-13,P093,Clothing,777.77,2,0.05,C1959,North,Cash
O000263,2024-04-22,P033,Clothing,406.76,3,0.15,C1261,West,Debit Card
O000264,2024-09-20,P023,Sports,863.17,3,0.05,C1290,East,Credit Card
O000265,2024-12-31,P076,Home,531.31,1,0.15,C1908,North,Debit Card
O000266,2024-10-14,P011,Clothing,718.81,5,0.0,C1234,West,UPI
O000267,2024-11-08,P045,Beauty,229.75,3,0.2,C1665,North,Debit Card
O000268,2024-11-23,P057,Clothing,113.07,5,0.1,C0767,South,Credit Card
O000269,2024-02-20,P007,Clothing,656.22,2,0.1,C0595,North,Cash
O000270,2024-04-05,P071,Clothing,988.84,3,0.15,C0516,North,Cash
O000271,2024-06-13,P043,Sports,149.67,2,0.05,C2000,South,Debit Card
O000272,2024-09-19,P001,Sports,738.55,5,0.1,C0113,East,Cash
O000273,2024-04-21,P023,Clothing,189.62,4,0.2,C1599,West,Credit Card
O000274,2024-07-06,P076,Electronics,706.91,1,0.2,C0948,East,Cash
O000275,2024-01-11,P035,Sports,266.83,2,0.1,C1546,West,Debit Card
O000276,2024-04-28,P028,Clothing,275.38,5,0.2,C1854,South,Cash
O000277,2024-09-12,P090,Electronics,556.53,2,0.2,C0610,East,Credit Card
O000278,2024-12-20,P028,Clothing,948.97,4,0.0,C0881,East,Cash
O000279,2024-07-20,P067,Clothing,570.12,3,0.0,C1335,East,Credit Card
O000280,2024-04-24,P056,Clothing,517.33,1,0.05,C1949,North,Credit Card
O000281,2024-08-24,P057,Electronics,408.52,1,0.1,C0944,West,Credit Card
O000282,2024-01-04,P023,Home,140.95,5,0.2,C0809,East,Credit Card
O000283,2024-04-07,P036,Home,279.58,3,0.05,C0514,West,Debit Card
O000284,2024-05-07,P034,Home,126.57,4,0.0,C1729,West,UPI
O000285,2024-02-03,P039,Sports,558.64,1,0.05,C1065,East,Cash
O000286,2024-03-16,P046,Electronics,214.36,2,0.2,C1954,South,Cash
O000287,2024-01-27,P012,Electronics,901.02,3,0.05,C0078,East,Credit Card
O000288,2024-09-24,P065,Sports,636.77,5,0.05,C1803,South,UPI
O000289,2024-06-21,P090,Home,839.73,5,0.15,C1159,North,UPI
O000290,2024-07-08,P059,Electronics,523.73,2,0.15,C1286,North,Cash
O000291,2024-11-05,P049,Beauty,740.65,3,0.2,C1517,West,UPI
O000292,2024-10-18,P098,Electronics,773.28,5,0.2,C0272,East,Cash
O000293,2024-09-23,P004,Clothing,295.81,4,0.0,C1569,North,Debit Card
O000294,2024-07-05,P048,Electronics,304.15,3,0.05,C1659,South,Debit Card
O000295,2024-02-24,P015,Sports,667.03,5,0.0,C0142,South,UPI
O000296,2024-09-06,P042,Beauty,40.87,4,0.1,C0445,West,Debit Card
O000297,2024-08-14,P073,Sports,843.11,1,0.1,C0767,West,Credit Card
O000298,2024-12-30,P053,Sports,163.13,1,0.05,C1713,East,Credit Card
O000299,2024-03-13,P071,Clothing,84.39,1,0.0,C1269,East,Credit Card
O000300,2024-08-04,P085,Home,707.88,2,0.0,C0983,East,Credit Card
O000301,2024-02-08,P005,Clothing,85.17,2,0.2,C1021,South,UPI
O000302,2024-04-17,P067,Clothing,697.75,2,0.15,C1057,East,UPI
O000303,2024-10-01,P090,Beauty,321.45,3,0.1,C1769,North,Cash
O000304,2024-10-31,P081,Home,145.45,2,0.0,C1538,West,Cash
O000305,2024-11-06,P075,Electronics,526.09,4,0.1,C0979,North,Debit Card
O000306,2024-09-20,P078,Electronics,642.56,1,0.2,C0814,West,UPI
O000307,2024-07-16,P015,Clothing,980.77,2,0.0,C1149,South,Credit Card
O000308,2024-09-24,P053,Sports,229.0,2,0.0,C0857,North,UPI
O000309,2024-12-30,P016,Beauty,673.22,2,0.0,C1321,West,Cash
O000310,2024-10-08,P019,Sports,572.27,2,0.2,C1225,North,Debit Card
O000311,2024-01-07,P031,Electronics,304.38,2,0.1,C0447,North,Cash
O000312,2024-08-02,P002,Beauty,797.39,4,0.1,C1818,South,Cash
O000313,2024-04-12,P017,Electronics,46.64,3,0.15,C0188,West,Credit Card
O000314,2024-07-06,P090,Sports,486.25,3,0.2,C1170,West,Debit Card
O000315,2024-06-19,P022,Sports,346.48,4,0.0,C1309,North,Cash
O000316,2024-01-04,P060,Clothing,792.82,1,0.2,C0183,West,UPI
O000317,2024-07-28,P013,Electronics,524.97,5,0.05,C0723,West,Debit Card
O000318,2024-04-17,P078,Clothing,240.63,3,0.05,C0111,East,Credit Card
O000319,2024-02-03,P018,Sports,31.06,5,0.2,C1710,West,Cash
O000320,2024-09-30,P033,Electronics,939.68,3,0.1,C1091,East,Credit Card
O000321,2024-02-08,P007,Clothing,19.39,5,0.0,C0991,South,Cash
O000322,2024-11-13,P039,Sports,485.08,1,0.15,C0914,West,Debit Card
O000323,2024-08-26,P083,Sports,404.3,1,0.15,C1496,South,Debit Card
O000324,2024-03-05,P073,Clothing,246.39,3,0.2,C0315,South,Credit Card
O000325,2024-05-21,P005,Clothing,304.03,2,0.15,C0896,East,Credit Card
O000326,2024-05-25,P045,Sports,241.27,1,0.0,C0034,East,UPI
O000327,2024-03-13,P082,Home,118.37,1,0.15,C1731,West,Credit Card
O000328,2024-05-19,P088,Electronics,956.85,5,0.2,C1049,East,UPI
O000329,2024-07-16,P055,Electronics,982.51,3,0.2,C0995,West,Debit Card
O000330,2024-08-13,P065,Electronics,175.36,4,0.15,C0474,East,Debit Card
O000331,2024-02-28,P048,Clothing,407.56,5,0.2,C1515,East,Debit Card
O000332,2024-08-30,P086,Home,517.56,2,0.1,C0530,South,Credit Card
O000333,2024-08-13,P062,Clothing,390.25,1,0.0,C1281,North,Debit Card
O000334,2024-09-15,P089,Electronics,827.94,5,0.2,C1238,East,Debit Card
O000335,2024-02-23,P075,Home,969.41,1,0.0,C1420,East,Cash
O000336,2024-04-08,P001,Clothing,601.3,1,0.2,C0635,West,Debit Card
O000337,2024-06-26,P014,Beauty,496.27,1,0.1,C0201,South,Cash
O000338,2024-06-08,P018,Clothing,468.75,5,0.2,C0833,North,Debit Card
O000339,2024-03-29,P045,Clothing,597.01,5,0.05,C0753,West,Credit Card
O000340,2024-09-23,P035,Home,878.69,3,0.1,C0034,South,UPI
O000341,2024-01-29,P082,Clothing,889.86,1,0.05,C1980,North,UPI
O000342,2024-11-27,P080,Clothing,45.07,1,0.2,C1176,North,Cash
O000343,2024-08-13,P089,Home,414.37,3,0.2,C0871,East,UPI
O000344,2024-06-24,P012,Beauty,500.92,5,0.15,C0620,North,Credit Card
O000345,2024-06-24,P020,Home,686.43,5,0.2,C0275,South,Cash
O000346,2024-03-21,P068,Sports,70.9,5,0.2,C1938,West,Cash
O000347,2024-04-24,P052,Electronics,826.43,2,0.1,C1103,East,Credit Card
O000348,2024-08-24,P078,Home,736.57,3,0.15,C0300,South,Debit Card
O000349,2024-12-18,P060,Clothing,165.77,1,0.2,C0310,North,Debit Card
O000350,2024-12-28,P058,Home,246.3,5,0.05,C1272,South,UPI
O000351,2024-12-21,P005,Home,622.43,4,0.2,C1192,West,Cash
O000352,2024-08-22,P025,Electronics,961.7,1,0.1,C1482,South,Debit Card
O000353,2024-01-31,P020,Sports,827.56,2,0.1,C1687,East,UPI
